entry_time,exit_time,direction,setup_type,quality,signal_entry,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,r_multiple,winner
2026-01-13T10:10:00,2026-01-13T11:45:00,BUY,Mean Reversion,1.0,4592.6,4593.2,4587.48,4599.23,4599.23,Take Profit,6.03,1.05,Y
2026-01-13T11:50:00,2026-01-13T12:05:00,SELL,Mean Reversion,1.0,4597.3,4596.8,4602.2,4594.57,4594.57,Take Profit,2.23,0.41,Y
2026-01-13T12:20:00,2026-01-13T12:20:00,BUY,Mean Reversion,1.0,4592.1,4592.8,4587.39,4595.04,4587.39,Stop Loss,-5.41,-1.0,N
2026-01-13T12:35:00,2026-01-13T12:40:00,BUY,Mean Reversion,1.0,4588.6,4589.1,4583.92,4594.04,4594.04,Take Profit,4.94,0.95,Y
2026-01-13T13:00:00,2026-01-13T13:05:00,SELL,Mean Reversion,1.0,4602.0,4600.9,4607.13,4594.8,4607.13,Stop Loss,-6.23,-1.0,N
2026-01-13T13:20:00,2026-01-13T13:30:00,SELL,Mean Reversion,1.0,4610.1,4609.6,4617.05,4597.35,4617.05,Stop Loss,-7.45,-1.0,N
2026-01-13T13:40:00,2026-01-13T14:20:00,SELL,Mean Reversion,1.0,4622.8,4621.9,4631.21,4605.98,4631.21,Stop Loss,-9.31,-1.0,N
2026-01-13T14:55:00,2026-01-13T15:00:00,SELL,Mean Reversion,1.0,4633.3,4632.6,4650.87,4624.1,4624.1,Take Profit,8.5,0.47,Y
2026-01-13T15:05:00,2026-01-13T15:05:00,SELL,Mean Reversion,1.0,4628.5,4628.0,4653.32,4626.25,4626.25,Take Profit,1.75,0.07,Y
2026-01-13T15:25:00,2026-01-13T15:45:00,BUY,Mean Reversion,1.0,4612.7,4613.8,4598.21,4626.54,4626.54,Take Profit,12.74,0.82,Y
2026-01-13T16:35:00,2026-01-13T16:50:00,BUY,Mean Reversion,1.0,4614.5,4615.3,4593.72,4621.18,4621.18,Take Profit,5.88,0.27,Y
2026-01-13T18:10:00,2026-01-13T20:30:00,BUY,Mean Reversion,1.0,4601.3,4602.2,4589.25,4614.83,4589.25,Stop Loss,-12.95,-1.0,N
2026-01-13T20:45:00,2026-01-13T23:00:00,BUY,Mean Reversion,1.0,4592.7,4593.8,4575.5,4599.4,4599.4,Take Profit,5.6,0.31,Y
2026-01-13T23:35:00,2026-01-14T00:00:00,SELL,Mean Reversion,1.0,4603.0,4602.4,4610.95,4597.39,4610.95,Stop Loss,-8.55,-1.0,N
2026-01-14T00:15:00,2026-01-14T01:00:00,SELL,Mean Reversion,1.0,4612.3,4611.6,4619.1,4602.35,4619.1,Stop Loss,-7.5,-1.0,N
2026-01-14T01:10:00,2026-01-14T02:30:00,SELL,Mean Reversion,1.0,4618.4,4617.3,4630.02,4611.52,4630.02,Stop Loss,-12.72,-1.0,N
2026-01-14T02:40:00,2026-01-14T03:25:00,SELL,Mean Reversion,1.0,4628.9,4628.3,4636.75,4624.49,4624.49,Take Profit,3.81,0.45,Y
2026-01-14T03:35:00,2026-01-14T14:45:00,BUY,Mean Reversion,1.0,4629.0,4629.8,4617.12,4652.76,4617.12,Stop Loss,-12.68,-1.0,N
2026-01-14T14:55:00,2026-01-14T15:00:00,BUY,Mean Reversion,1.0,4622.7,4623.1,4610.21,4637.66,4610.21,Stop Loss,-12.89,-1.0,N
2026-01-14T15:10:00,2026-01-14T18:15:00,BUY,Mean Reversion,1.0,4611.6,4612.2,4599.14,4634.12,4634.12,Take Profit,21.92,1.68,Y
2026-01-14T18:25:00,2026-01-14T18:50:00,SELL,Mean Reversion,1.0,4633.6,4633.0,4643.14,4621.7,4643.14,Stop Loss,-10.14,-1.0,N
2026-01-14T20:10:00,2026-01-14T21:25:00,BUY,Mean Reversion,1.0,4644.5,4645.4,4627.72,4678.07,4627.72,Stop Loss,-17.68,-1.0,N
2026-01-14T21:35:00,2026-01-14T23:05:00,BUY,Mean Reversion,1.0,4627.5,4628.3,4619.3,4637.79,4619.3,Stop Loss,-9.0,-1.0,N
2026-01-14T23:15:00,2026-01-14T23:25:00,BUY,Mean Reversion,1.0,4621.2,4621.5,4610.58,4631.53,4610.58,Stop Loss,-10.92,-1.0,N
2026-01-14T23:30:00,2026-01-15T01:20:00,BUY,Mean Reversion,1.0,4614.0,4614.7,4603.1,4628.12,4603.1,Stop Loss,-11.6,-1.0,N
2026-01-15T01:40:00,2026-01-15T02:05:00,BUY,Mean Reversion,1.0,4600.6,4601.0,4588.32,4615.1,4615.1,Take Profit,14.1,1.11,Y
2026-01-15T03:20:00,2026-01-15T03:30:00,BUY,Mean Reversion,1.0,4594.8,4595.3,4584.55,4607.95,4584.55,Stop Loss,-10.75,-1.0,N
2026-01-15T03:35:00,2026-01-15T06:05:00,BUY,Mean Reversion,1.0,4594.0,4595.1,4576.69,4605.5,4605.5,Take Profit,10.4,0.56,Y
2026-01-15T06:25:00,2026-01-15T10:35:00,SELL,Mean Reversion,1.0,4612.1,4611.3,4621.84,4597.86,4621.84,Stop Loss,-10.54,-1.0,N
2026-01-15T12:25:00,2026-01-15T12:25:00,BUY,Mean Reversion,1.0,4620.3,4620.9,4614.27,4622.49,4622.49,Take Profit,1.59,0.24,Y
2026-01-15T12:30:00,2026-01-15T12:40:00,BUY,Mean Reversion,1.0,4620.7,4621.4,4614.06,4622.36,4622.36,Take Profit,0.96,0.13,Y
2026-01-15T13:00:00,2026-01-15T13:15:00,BUY,Mean Reversion,1.0,4617.9,4618.8,4612.03,4621.16,4612.03,Stop Loss,-6.77,-1.0,N
2026-01-15T13:25:00,2026-01-15T13:30:00,BUY,Mean Reversion,1.0,4611.4,4612.2,4605.55,4618.59,4605.55,Stop Loss,-6.65,-1.0,N
2026-01-15T13:55:00,2026-01-15T14:30:00,BUY,Mean Reversion,1.0,4594.5,4595.0,4582.65,4611.52,4611.52,Take Profit,16.52,1.34,Y
2026-01-15T16:20:00,2026-01-15T16:25:00,SELL,Mean Reversion,1.0,4625.4,4624.4,4636.41,4617.5,4617.5,Take Profit,6.9,0.57,Y
2026-01-15T17:00:00,2026-01-15T17:15:00,BUY,Mean Reversion,1.0,4610.2,4611.2,4597.76,4617.12,4617.12,Take Profit,5.92,0.44,Y
2026-01-15T18:10:00,2026-01-15T20:05:00,SELL,Mean Reversion,1.0,4623.3,4622.6,4631.74,4616.0,4616.0,Take Profit,6.6,0.72,Y
2026-01-15T20:30:00,2026-01-15T21:25:00,BUY,Mean Reversion,1.0,4609.0,4609.8,4599.6,4618.59,4618.59,Take Profit,8.79,0.86,Y
2026-01-15T23:10:00,2026-01-15T23:20:00,SELL,Mean Reversion,1.0,4623.5,4622.7,4629.72,4616.16,4616.16,Take Profit,6.54,0.93,Y
2026-01-16T00:15:00,2026-01-16T01:00:00,BUY,Mean Reversion,1.0,4610.1,4610.9,4602.12,4615.76,4602.12,Stop Loss,-8.78,-1.0,N
2026-01-16T01:10:00,2026-01-16T01:10:00,BUY,Mean Reversion,1.0,4608.6,4609.0,4596.7,4609.35,4609.35,Take Profit,0.35,0.03,Y
2026-01-16T01:15:00,2026-01-16T01:15:00,BUY,Mean Reversion,1.0,4607.2,4608.5,4596.41,4609.1,4609.1,Take Profit,0.6,0.05,Y
2026-01-16T02:20:00,2026-01-16T02:20:00,BUY,Mean Reversion,1.0,4605.0,4605.6,4595.25,4606.17,4606.17,Take Profit,0.57,0.06,Y
2026-01-16T02:25:00,2026-01-16T02:35:00,BUY,Mean Reversion,1.0,4606.6,4607.6,4595.45,4628.9,4595.45,Stop Loss,-12.15,-1.0,N
2026-01-16T02:45:00,2026-01-16T04:55:00,BUY,Mean Reversion,1.0,4599.4,4600.0,4591.71,4605.35,4605.35,Take Profit,5.35,0.65,Y
2026-01-16T05:40:00,2026-01-16T13:15:00,BUY,Mean Reversion,1.0,4606.6,4607.4,4595.34,4629.12,4595.34,Stop Loss,-12.06,-1.0,N
2026-01-16T13:25:00,2026-01-16T14:05:00,BUY,Mean Reversion,1.0,4594.4,4594.8,4585.26,4608.24,4608.24,Take Profit,13.44,1.41,Y
2026-01-16T14:45:00,2026-01-16T15:20:00,SELL,Mean Reversion,1.0,4612.3,4611.8,4625.79,4603.23,4603.23,Take Profit,8.57,0.61,Y
2026-01-16T15:45:00,2026-01-16T16:20:00,BUY,Mean Reversion,1.0,4558.4,4559.4,4534.53,4600.0,4600.0,Take Profit,40.6,1.63,Y
2026-01-16T18:40:00,2026-01-16T18:55:00,SELL,Mean Reversion,1.0,4598.1,4597.7,4609.11,4590.54,4590.54,Take Profit,7.16,0.63,Y
2026-01-16T20:40:00,2026-01-16T20:50:00,BUY,Mean Reversion,1.0,4589.6,4590.6,4579.53,4592.97,4592.97,Take Profit,2.37,0.21,Y
2026-01-16T21:25:00,2026-01-16T21:59:55,SELL,Mean Reversion,1.0,4597.1,4596.2,4608.73,4593.35,4595.4,End of data,0.8,0.06,Y
